ID,Language,Lemma,Lemma_en,POS,Definition,Definition_en,Example,Example_en,HurtLex_category,HurtLex_category_full,Definition_ID
BG1659,Bulgarian,маниак,maniac,noun,"Човек, който проявява силна страст, пристрастие към нещо, достигащи до крайност.","A person who shows strong passion, an addiction to something, reaching extremes.","[Аз съм момиче на 17, скоро преживях много гадна случка с бившия ми приятел, който се оказа гаден маниак.;Или е геноциден, унищожителен маниак, напълно подкрепен от също толкова дивашкия си Бог – Яхве - Yahweh?;Вие сте прикрити негри, маниаци, жестоки, алчни.;Само маниак може да подслушва хората за удоволствие.]","[I am a 17-year-old girl, I recently went through a very nasty incident with my ex-boyfriend, who turned out to be a nasty maniac.; Or is he a genocidal, destructive maniac, fully supported by his equally savage God – Yahweh?; You are covert blacks, maniacs, cruel, greedy.; Only a maniac can eavesdrop on people for pleasure.]",re,felonies_and_words_related_to_crime_and_immoral_behavior,726
BG268,Bulgarian,мародер,plunderer,noun,"Човек, който присвоява, ограбва чужд имот или труд, който се обогатява за сметка на другите, без да подбира средства.","A person who embezzles, robs someone else's property or labor, who enriches themselves at the expense of others, without choosing means.","[Но се възползва като мародер от убийството на Алексей, за да си плете селските схеми.;По друг повод той казва: Мнозина политици се държат като мародери със собствената си чест.;Изборите за европарламент са добър повод за това – тъй като могат да се превърнат във вот на недоверие за политическите мародери , в чиито ръце е България.]",[But he took advantage of Alexey's murder like a marauder to weave his petty schemes.; On another occasion he says: Many politicians behave like marauders with their own honor.; The elections for the European Parliament are a good occasion for this – as they can turn into a vote of no confidence against the political marauders in whose hands Bulgaria is.],re,felonies_and_words_related_to_crime_and_immoral_behavior,727
BG1212,Bulgarian,масон,freemason,noun,"Последовател на масонството, член на масонска ложа.","A follower of Freemasonry, a member of a Masonic lodge.","[На Пловдивския панаир – мафиоти, мутри и масони.;Разколници, масони , женени след приемане на монашество, крадци и мошеници!;Татко има един приятел, страшен масон, много е съмнителен и мама се страхува от него.]","[At the Plovdiv Fair – mafiosi, thugs, and Freemasons.;Schismatics, Freemasons, married after taking monastic vows, thieves and swindlers!;Dad has a friend, a terrible Freemason, very suspicious, and mom is afraid of him.]",qas,with_potential_negative_connotations,728
BG1213,Bulgarian,масонски,masonic,adj,Който се отнася до масон или масонство.,Relating to a mason or masonry.,"[Неговите сделки изглеждат досущ масонски, без да е такъв.;Резултатите от конкурса бяха подправени. Личаха си масонските връзкари.]","His deals look exactly Masonic, without him being one.; The results of the competition were rigged. The Masonic connections were obvious.",qas,with_potential_negative_connotations,729
BG1210,Bulgarian,масонство,freemasonry,noun,"Посветителско общество, което има неуточнен произход като различни клонове на това общество днес съществуват под различни форми в цял свят, с членска маса приблизително 5 милиона души.","A secret society of unspecified origin, with various branches of this society existing today in different forms worldwide, with a membership of approximately 5 million people.","[Такава е цялата му работа - едно масонство, постоянни опити за връзки по върховете, без да е заслужил.]","[That is his entire work - a kind of Freemasonry, constant attempts to make connections at the top, without having earned it.]",qas,with_potential_negative_connotations,730
BG1678,Bulgarian,мафиот,mobster,noun,"Участник в банда, която извършва дръзки грабежи, убийства, изнудвания, упражнява политически терор и други.","A member of a gang that commits daring robberies, murders, extortions, engages in political terror, and more.","[Рано или късно, човечеството, което избра съвременните политически мафиоти управляващи САЩ, ЕС, Русия, Япония ще плати сметката без съмнение.;Този гаден мафиот Донев пак се уреди.;По-важното е, че припознават в нашите комуняги и мафиоти собственото си ""аз"" и си ги приемат такива каквито са.]","Sooner or later, humanity, which chose the modern political mafiosi ruling the USA, EU, Russia, Japan, will undoubtedly pay the price.; That nasty mafioso Donev has arranged himself again.; More importantly, they recognize their own ""self"" in our communists and mafiosi and accept them as they are.",re,felonies_and_words_related_to_crime_and_immoral_behavior,731
BG1429,Bulgarian,маце,chick,noun,"Младо ефектно момиче или млада жена, обикновено с по-свободно държание.","A young stylish girl or young woman, usually with a more relaxed demeanor.","[С мен е страшно руско маце, а този си мисли, че гледам невзрачната му приятелка.;И в същото време – тъпо маце.;Зам. министър Бранимир Ботев се вихри с младо маце на „Елените”.;Така си е – искам да се почувствам нещо повече от мацето, с което се чукаш в събота и неделя.]","[I'm with a hot Russian chick, and this guy thinks I'm looking at his dull girlfriend.; And at the same time – a dumb chick.; Deputy Minister Branimir Botev is having fun with a young chick at ""Elenite"".; That's how it is – I want to feel like more than just the chick you hook up with on Saturdays and Sundays.]",cds,derogatory_words,732
BG1631,Bulgarian,мекотело,pushover,noun,"Глупав, безхарактерен човек, който е без достойнство и самочувствие, не смее открито да изкаже мнението си.","A stupid, spineless person who lacks dignity and self-confidence does not dare to openly express their opinion.","[Хубаво е да имаш мъж срещу себе си, а не лигаво мекотело.;Това мъж ли е или мекотело, а за кифлата не съм сигурен, че щеше да му обърне внимание, ако не работеше в телевизията!;Голяма грешка на ГЕРБ, че подкрепиха това мекотело.]","[It's nice to have a man in front of you, not a sappy softie.;Is that a man or a softie, and I'm not sure the bimbo would have paid him any attention if he didn't work in television!;A big mistake by GERB to support that softie.]",an,animals,733
BG1316,Bulgarian,мерзавец,scoundrel,noun,"Човек, който върши или говори неприлични, неморални, непочтени неща; морално паднал, безнравствен, долен човек.","A person who does or speaks indecent, immoral, dishonest things; morally fallen, immoral, base person.","[Като истински мерзавец, за да не вземете позиция за една напълно необоснована и непредизвикана военна агресия, се обявихте за мир, нарекохте се «миротворец».;Този мерзавец, заедно с цялата му бандитска шайка, не само че трябва да бъде пометен спешно от властта, а трябва незабавно да бъдат разследвани за всеки договор, всеки меморандум и всяка държавна поръчка.]","Like a true scoundrel, in order not to take a position on a completely unfounded and unprovoked military aggression, you declared yourself for peace, calling yourself a ""peacemaker."" This scoundrel, along with his entire bandit gang, not only must be urgently swept from power, but must also be immediately investigated for every contract, every memorandum, and every government order.",cds,derogatory_words,734
BG2389,Bulgarian,мерзък,vile,adj,"Който е безнравствен, безчестен и предизвиква отвращение, презрение.","One who is immoral, dishonorable, and provokes disgust and contempt.","[От какво те е толкова страх, мерзък лицемер?!;Някои мерзки хора със задоволство казват ""светът вече няма да е същият"".;Последен мерзък ход на вътрешния министър на МВР в оставка Цветлин Йовчев – днес е била прочетена пред състава на ОД на МВР – Варна заповед за постоянното назначаване на Николай Калчев – Пуйчето за директор на варненската дирекция на МВР.]","[What are you so afraid of, you vile hypocrite?!; Some vile people say with satisfaction, ""the world will never be the same."" ; The last vile move of the resigning Minister of the Interior, Tsvetlin Yovchev – today an order was read before the staff of the Varna Regional Directorate of the Ministry of Interior for the permanent appointment of Nikolay Kalchev – Puycheto as director of the Varna Directorate of the Ministry of Interior.]",cds,derogatory_words,735
BG1794,Bulgarian,метис,mulatto,noun,"Дете от мъжки пол, родено от брак между родители от различни раси; мелез.",A male child born from a marriage between parents of different races; a mulatto.,"[Не трябва да се чудим защо сега й се лепят само черни и други метиси, това е естествено привличане. ;Наричат ме метис и други такива.]","[We shouldn't wonder why now only black and other mixed-race people are attracted to her, this is natural attraction. ;They call me a mixed-race and other such names.]",cds,derogatory_words,736
BG1151,Bulgarian,метреса,consort,noun,Любовница на властващ.,Mistress of a ruler.,"[Коя и каква е Елеонора Митрофанова – путинова метреса, руски трол или висш дипломат.;Нали съм в чужбина и нямам думата и хоп Божидар Димитров – вечната комунистическа метреса.;Няма да пълна гушата на мутри и метреси.]","[Who and what is Eleonora Mitrofanova – Putin's mistress, a Russian troll, or a senior diplomat?; Since I am abroad and have no say, here comes Bozhidar Dimitrov – the eternal communist mistress.; I will not fill the pockets of thugs and mistresses.]",pr,words_related_to_prostitution,737
BG615,Bulgarian,мижитурка,pushover,noun,"Глупав, безхарактерен човек, който е без достойнство и самочувствие, не смее открито да изкаже мнението си.","A stupid, spineless person who lacks dignity and self-confidence does not dare to openly express their opinion.","[Ако Кирил Петков не посочи 20-те сиви кардинали, е страхлива мижитурка. ;Крилатата фраза е на Сергей Бодров, а не на некаква политическа мижитурка.;Мижитурка, която не смее да излезе с името си, а пише с псевдоним.]","[If Kiril Petkov does not name the 20 gray cardinals, he is a cowardly weakling. ;The catchphrase is by Sergey Bodrov, not some political weakling.;A weakling who does not dare to come out with his real name, but writes under a pseudonym.]",cds,derogatory_words,738
BG2271,Bulgarian,мизерен,scoundrel,adj,"Който е безнравствен, безчестен и предизвиква отвращение, презрение.","One who is immoral, dishonorable, and provokes disgust and contempt.","[Някаква си жена е посветила любовта си на този мизерен глупак: тя е мъртва вече, в момента сигурно е светица в Рая.;Седя си тук, болна и мизерна, и настина нищо не ми се прави.;Аз само ще ти кажа, че според мен живеете в мизерен апартамент по моите критерии.;Мизерната му роля в екипа не заслужава внимание.;Колко мизерен човек трябва да си, за да се подиграваш на болно дете?]","Some woman has devoted her love to this miserable fool: she is already dead, right now she is probably a saint in Heaven.; I am sitting here, sick and miserable, and really don't feel like doing anything.; I will just tell you that, according to my standards, you live in a miserable apartment.; His miserable role in the team does not deserve attention.; How miserable a person must you be to mock a sick child?",cds,derogatory_words,739
BG1471,Bulgarian,мизерия,villainy,noun,"Нечестна, недостойна, подла проява, постъпка.","Dishonest, unworthy, vile act, deed.","[Корупцията е на такова ниво, че никой не вижда смисъл да вади докуементи като пълен тапак по цял ден, за да участва в тази мизерия. ;На него се дължи според мен и мизерията , в която тънем.;И си личи тази ми ти мизерия, както и последствията от нея, които ние търпим.]","Corruption is at such a level that no one sees the point in pulling out documents like a complete fool all day to participate in this misery. In my opinion, he is also responsible for the misery we are drowning in. And this damn misery is obvious, as are the consequences of it that we endure.",is,words_related_to_social_and_economic_disadvantage,740
BG910,Bulgarian,минджа,muff,noun,"Неподдържан женски полов орган, с обилно окосмяване и неприятен аромат.","Unkempt female genital organ, with abundant hair and an unpleasant odor.","[По данни на руснаците, свидетели на патакламите, по наш превод Лили изрекла: ""Не те ли е срам да се пудриш като циганска минджа в мензис?"";Аааа, кюстендилската миризлива минджа на братя Галеви е открила нова област, в която е специалист - туризма и крайбрежното застрояване!;Минджата ти недорасла...]","[According to the Russians, witnesses of the chaos, in our translation Lili said: ""Aren't you ashamed to powder yourself like a gypsy slut during your period?""; Ahhh, the stinky slut from Kyustendil of the Galevi brothers has discovered a new field in which she is a specialist - tourism and coastal development!; You immature slut...]",asf,female_genitalia,741
BG241,Bulgarian,министър,minister,noun,"Член на правителство, който управлява министерство.",A member of the government who heads a ministry.,"[Голям министър, няма що. Истински ""интелектуалец"", ""творец"", ""стратег"", ""крупен мислител"", ""титан на филибелийската мисъл"". Ще извърши истински реформи - ще нареди да се боядисат училищата и да се смени дограмата.;Гледай го тоя - станал ми министър на всичко, разбира от всичко!;Айде бе, министърът на домашните работи пак реши кой какво да прави.]","[A great minister, no doubt. A true ""intellectual,"" ""creator,"" ""strategist,"" ""prominent thinker,"" ""titan of philibellian thought."" He will carry out real reforms – he will order the schools to be painted and the window frames to be replaced.; Look at him – he became my minister of everything, he understands everything!; Come on, the minister of household affairs has again decided who should do what.]",pa,professions_and_occupations,742
BG938,Bulgarian,мистификация,hoax,noun,Преднамерено представяне на неистина с користна цел.,Deliberate presentation of falsehood for personal gain.,"[Доколкото ги има, референдумите са мистификация.;Пропагандната мистификация успява.;Департаментът искаше проекта ""Гъска"" да бъде държан в тайна, защото в началото просто се опасявахме, че това все пак ще се окаже грандиозна мистификация, а ние не можем да си позволим такава некадърна реклама.]","[As far as they exist, the referendums are a mystification.; The propaganda mystification succeeds.; The department wanted the ""Goose"" project to be kept secret because at first we simply feared that it would turn out to be a grand mystification, and we cannot afford such incompetent publicity.]",dmc,moral_and_behavioral_defects,743
BG91,Bulgarian,миш-маш,mess,noun,"Отсъствие, липса на ред някъде или в нещо.","Absence, lack of order somewhere or in something.","[Чакайте малко, че стана миш-маш. Явно трябва да обясня някои неща. Ляво и дясно освен в икономиката, има и в социалните разбирания.;Ама сценарият е ... миш-маш - български носии, мажоретки, ромки, побратимени градове /руски/, балкански напеви с гарнитура палестиноизраелски солидарности - нещокатонищо и розите пооочти ги няма!;Има политически миш-маш преди местните избори.;Колега, проектът Ви е пълен миш-маш - няма структура, няма ясна идея.]","[Wait a moment, it became a mishmash. Apparently, I need to explain some things. Left and right exist not only in the economy but also in social understandings.;But the scenario is... a mishmash - Bulgarian folk costumes, majorettes, Roma women, twin towns (Russian), Balkan melodies with a garnish of Palestinian-Israeli solidarities - something that is nothing and the roses are almost gone!;There is a political mishmash before the local elections.;Colleague, your project is a complete mishmash - no structure, no clear idea.]",cds,derogatory_words,744
BG1752,Bulgarian,младок,youth,noun,"Млад, често неопитен човек.","A young, often inexperienced person.","[Въпреки несполуките си с предишните млади гаджета Мария Илиева отново заживя с младок.;А и лято е, все пак, почивки и ваканции са сега, какво ще се притесняваме с тъпи младоци, на които не им издържали нервите и претрепали един тригодишен лигльо, дето майка му свири по корабите, вместо да си седи в България и да го води по градинките!;Въпреки напредналата си възраст и ексцентрично поведение, тя успя да забърше поредния младок.]","Despite her failures with previous young boyfriends, Maria Ilieva moved in again with a youngster. And it's summer, after all, now is the time for holidays and vacations, why should we worry about silly young men whose nerves couldn't hold up and who killed a three-year-old brat whose mother plays music on ships instead of staying in Bulgaria and taking him to the parks! Despite her advanced age and eccentric behavior, she managed to snag yet another youngster.",cds,derogatory_words,745
BG1637,Bulgarian,монголски,mongoloid,adj,Монголоиден.,Mongoloid.,"[Тя представляваше момичешка глава с монголски черти.;Гледката и звукът на 600 коне, препуснали стремглаво в галоп по 16-километрова отсечка е смайващо преживяване и само честването, което следва – с неговата сърдечна монголска радушност, ядене и пиене – могат да се сравнят с него.;Типично монголска тактика с опит за сплашване, те, ватенките, друго не могат, освен да прелитат и да пускат фантастични филмчета от мосфилм.]","She represented a girl’s head with Mongolian features.; The sight and sound of 600 horses galloping at full speed over a 16-kilometer stretch is an astonishing experience, and only the celebration that follows—with its heartfelt Mongolian hospitality, eating and drinking—can compare to it.; A typical Mongolian tactic with an attempt at intimidation, they, the felt boots, can do nothing else but fly by and release fantastic little films from Mosfilm.",ps,negative_stereotypes_ethnic_slurs,746
BG1113,Bulgarian,моралист,moralizer,noun,"Разг. Неодобр. Лице, което проповядва строг морал, поучава в морално отношение; морализатор.","Colloq. Disapproving. A person who preaches strict morality, moralizing; a moralizer.","[На думи е бил голям моралист, пацифист, много набожен. Но действителността е била съвсем друга. ;Хайде, стига, големи моралисти се представяме всички, но нека всеки погледне към себе си и си каже - аз съм безгрешен!;А Кеворкян е злодей само в очите на недоклатени моралисти.]","[In words, he was a great moralist, a pacifist, very devout. But the reality was quite different.; Come on, enough, we all present ourselves as great moralists, but let everyone look at themselves and say - am I flawless!; And Kevorkyan is a villain only in the eyes of immature moralists.]",dmc,moral_and_behavioral_defects,747
BG1505,Bulgarian,морално пропаднал,degenerate,noun,"Който е духовно или физически обречен или унищожен, който се е лишил от положителните си качества и черти.","One who is spiritually or physically doomed or destroyed, who has deprived themselves of their positive qualities and traits.","[Ти си морално пропаднала жена, а като учителка кръгла нула.;И всичко това, цялата тази енергия - с многобройните му телевизионни репортажи и телевизионно време - беше употребена само и само за да защитят един морално пропаднал директор в Приморско, когото и самите приморци не го искат...;Иначе щях да съм морално пропаднал като него.]","You are a morally depraved woman, and as a teacher, a complete failure. And all of this, all this energy—with his numerous television reports and airtime—was used solely to defend a morally depraved director in Primorsko, whom even the people of Primorsko do not want... Otherwise, I would be morally depraved like him.",dmc,moral_and_behavioral_defects,748
BG356,Bulgarian,мошеник,deceiver,noun,"Човек, който подвежда някого или го кара да вярва в неверни неща.",A person who misleads someone or makes them believe in false things.,"[Когато към края на 90-те Кристи Кинахан и неговата група за разпространение на наркотици започват да пробиват в подземния свят на Дъблин, той вече е добре известен на полицията като мошеник и крадец.;Обвиняемият нарече съдията Артър Енгорън мошеник, а главната прокурорка на щата, която е афроамериканка - ""расистка"" и ""шоу на ужаса"".;Тези интернет мошеници крадат лични данни и банкови сметки.;Само мошеник може да обещае толкова и да не изпълни нищо.]","[When, towards the end of the 90s, Christy Kinahan and his drug distribution group began to break into Dublin's underworld, he was already well known to the police as a con artist and thief.;The defendant called Judge Arthur Engoron a con artist, and the state's lead prosecutor, who is African American, a ""racist"" and a ""horror show"".;These internet scammers steal personal data and bank accounts.;Only a con artist can promise so much and deliver nothing.]",re,felonies_and_words_related_to_crime_and_immoral_behavior,749
BG356,Bulgarian,мошеник,deceiver,noun,"Човек, който подвежда някого или го кара да вярва в неверни неща.",A person who misleads someone or makes them believe in false things.,"[Георги Софкин се оказа изпечен мошеник и далавераджия.;Споделих тайната си, а той заяви: - Вие сте мошеник!]","[Georgi Sofkin turned out to be a seasoned swindler and schemer.; I shared my secret, and he declared: - You are a swindler!]",qas,with_potential_negative_connotations,750
BG2171,Bulgarian,мръсен,scoundrel,adj,"Който е безнравствен, безчестен и предизвиква отвращение, презрение.","One who is immoral, dishonorable, and provokes disgust and contempt.","[Много мръсна жена! Отвратително лице, хитро, курвенско!;Гнидо мръсна, краят ти се вижда!;Ама че мръсна повлекана – заявява преднамерено тя.]","[Very dirty woman! Disgusting face, cunning, slutty!; Dirty scum, your end is near!; What a dirty slut – she deliberately states.]",cds,derogatory_words,751
BG515,Bulgarian,мръсник,scoundrel,noun,"Човек, който върши или говори неприлични, неморални, непочтени неща; морално паднал, безнравствен, долен човек.","A person who does or speaks indecent, immoral, dishonest things; morally fallen, immoral, base person.","[В действителност този мръсник Мур наливаше масло в огъня на нейната омраза заради собствените си извратени цели.;А за онзи мръсник, който се е завърнал в чифлика, след като е прахосал частта от наследството си с уличници, не се поколебават да заколят угоено теле.;Какъв жалък мизерен мръсник и интригант си. По-долен си и от най долната пачавра.;– Всичко произлиза от тия мръсници, баронът и госпожица Дитрих... Шефът трябваше да им подхвърли нещо.]","[In fact, that bastard Moore was pouring oil on the fire of her hatred for his own perverted purposes.; And for that bastard who returned to the estate after squandering his share of the inheritance on streetwalkers, they do not hesitate to slaughter a fattened calf.; What a pathetic, miserable bastard and schemer you are. You are lower than the lowest scum.; – It all comes from those bastards, the baron and Miss Dietrich... The boss had to throw them something.]",cds,derogatory_words,752
BG995,Bulgarian,мръсотия,villainy,noun,"Нечестна, недостойна, подла проява, постъпка.","Dishonest, unworthy, vile act, deed.","[Не гласуват, за да не си цапат ръцете с политическата мръсотия.;Едната говори мръсотии, други спят, в стаята мирише на алкохол, това училище ли е, или какво?;Това, което направи зад гърба ми, беше пълна мръсотия.;Поръчкова статия с лъжи - типична медийна мръсотия.]","[They don't vote to avoid getting their hands dirty with political filth.; One talks dirty, others sleep, the room smells of alcohol, is this a school or what?; What you did behind my back was complete filth.; A commissioned article full of lies - typical media filth.]",cds,derogatory_words,753
BG1655,Bulgarian,муле,mule,noun,"Прен. Подигр. Глуповат, глупав човек. (от лат.)","Figurative. Derogatory. A silly, foolish person. (from Latin)","[Абе, муле такова, научи се да пишеш малко по-грамотно.;Ти например, вероятно също си муле, без да уточнявам кой от роднините ти е маймуна.;Не виждаш ли, бре, муле такова, че има разлика между надсетивния и несетивния живот?]","[Hey, you damn mule, learn to write a bit more grammatically.;You, for example, are probably a mule too, without me specifying which of your relatives is a monkey.;Can't you see, damn mule, that there is a difference between the suprasensory and the nonsensory life?]",an,animals,754
BG1983,Bulgarian,муфтаджия,freeloader,noun,"Лице, което търси аванта, което се стреми към аванта, което има склонност за получава неща гратис.","A person who seeks an advantage, who strives for an advantage, who has a tendency to get things for free.","[Този Фънки пък за какъв се има, този муфтаджия все се прави, че разбира от всичко, а по-точно от нищо, един тлъст глиган, който се мазни на всеки и се навира там, където не му е работата, защо изобщо го излъчват по телевизията?;Така че в Европа хората ще са убедени, че ""българите са крадливи, далавераджии, полуграмотни самохвалци"", че ""българите са неспособни на продуктивни усилия и решения"", че ""българите са мързеливи муфтаджии""...]","[And what does this Funky think he is, this freeloader always pretending to know everything, or rather nothing, a fat boar who sucks up to everyone and sticks his nose where it doesn't belong, why is he even broadcast on television?; So in Europe people will be convinced that ""Bulgarians are thieving, scheming, semi-literate braggarts,"" that ""Bulgarians are incapable of productive efforts and solutions,"" that ""Bulgarians are lazy freeloaders""...]",qas,with_potential_negative_connotations,755
BG1983,Bulgarian,муфтаджия,freeloader,noun,"Лице, което търси аванта, което се стреми към аванта, което има склонност за получава неща гратис.","A person who seeks an advantage, who strives for an advantage, who has a tendency to get things for free.","[В този момент Ути Бъчваров избухна и го обвини, че винаги е бил муфтаджия.]","[At that moment, Uti Bachvarov exploded and accused him of always being a freeloader.]",re,felonies_and_words_related_to_crime_and_immoral_behavior,756
BG154,Bulgarian,мухльо,coward,noun,"Глупав, безхарактерен човек, който е без достойнство и самочувствие, не смее открито да изкаже мнението си.","A stupid, spineless person who lacks dignity and self-confidence does not dare to openly express their opinion.","[Трябва да ти кажа, че аз, с работата ми, с дъщеря ми, с всичките ми проблеми се чувствам много по-пълноценна като жена, отколкото да мъкна на гърба си някой мухльо.;Президентът пък е абсолютен мухльо, който е насран от шубе и не смее да каже две думи в защита на усилията на хора като Христо Иванов, Лозан Панов и още неколцина съвестни хора, които полагат неимоверни усилия за да разтурят кочината в съдебната система.;Докато пълният мухльо се спотайва, когато настъпи моментът да се плати сметката, истинският мъжкар дори не го и коментира, постъпва джентълменски и щом срещу него е застанала дама, той е длъжен да я накара да се чувства на ниво.]","I have to tell you that with my work, with my daughter, with all my problems, I feel much more fulfilled as a woman than carrying some weakling on my back.;The president, on the other hand, is an absolute weakling who is scared stiff and doesn’t dare say a word in defense of the efforts of people like Hristo Ivanov, Lozan Panov, and a few other conscientious individuals who are making tremendous efforts to clean up the mess in the judicial system.;While the complete weakling hides when it’s time to pay the bill, a real man doesn’t even comment on it, acts like a gentleman, and when a lady is standing opposite him, he is obliged to make her feel valued.",cds,derogatory_words,757
BG1656,Bulgarian,муцуна,mug,noun,"Неодобр. Лице, физиономия; мутра.","Disapproved person, face; mug.","[След ""тежкия"" работен ден в събота и отморителната среща с едни стари муцуни, дойде така чаканата неделя.;Защо давате трибуна на тази продажна крива муцуна!?;– Затваряйте си муцуните, подивели негри! – кресна им Стъмп. – Затваряйте си муцуните, говеда!]","[After the ""hard"" working day on Saturday and the relaxing meeting with some old mugs, the long-awaited Sunday came.;Why are you giving a platform to this corrupt crooked mug!?;– Shut your mugs, wild niggers! – Stump shouted at them. – Shut your mugs, cattle!]",an,animals,758
BG210,Bulgarian,мъдо,testicle,noun,"Тестис. В мн.ч. обикновено е „мъде”, но се използва и „мъда” или „мъди”.","Testis. In plural, it is usually ""mŭde,"" but ""mŭda"" or ""mŭdi"" are also used.","[Провали се и като ляво мъдо на Костов, където Командирът съвсем мъдро оцени подлата му душица и въпреки напъните на Дачков да стане депутат от ДСБ Костов го отряза.;Затова пък Коларов блесна като свинско мъдо в кал и даже прави изводи и за България.]","[He also failed as Kostov's left-hand man, where the Commander very wisely assessed his vile little soul and despite Dachkov's efforts to become a deputy from DSB, Kostov cut him off.; On the other hand, Kolarov shone like a pork knuckle in the mud and even draws conclusions about Bulgaria.]",asm,male_genitalia,759
BG8,Bulgarian,мързел,idler,noun,"Мързелив, ленив човек.","A lazy, idle person.","[Нютон му се носела славата на голям мързел в училище.;Не иска академична кариера - той е голям мързел и иска да работи, само когато му се работи.;Ама си мързел, некадърник и мрънкач и ти трябва да плащаш на болницата да те държи, а не тя на теб.;А ти сигурно си мързел безподобен, схемаджия и тарикат.]","[Newton had a reputation for being very lazy at school.; He doesn't want an academic career - he is very lazy and wants to work only when he feels like it.; But you are lazy, incompetent, and a complainer, and you should be paying the hospital to keep you, not the other way around.; And you are probably an unparalleled lazy person, a schemer, and a smart aleck.]",dmc,moral_and_behavioral_defects,760
BG82,Bulgarian,мързелан,idler,noun,"Мързелив, ленив човек.","A lazy, idle person.","[И ето че нашият храненик, когото бяхме обявили за мързелан, взе да хвръква от бора и да броди покрай нас из лехите.;Все се оправдаваш, но си мързелан и това си е.;Остави го, той е мързелан и нищо не му се прави.]","[And here our ward, whom we had declared lazy, started flying from the pine tree and wandering around the garden beds near us.; You keep making excuses, but you are lazy and that's that.; Leave him be, he is lazy and doesn't want to do anything.]",cds,derogatory_words,761
BG1519,Bulgarian,мързелив,lazy,adj,"Който не обича и не желае да работи, да върши някаква дейност.","Who does not love and does not wish to work, to engage in some activity.","[Но ако е мързелив лигльо, който очаква всичко родителите му да го оправят, тогава, казано с най-мили думи, той е паразит, ама тези хора за жалост не осъзнават, че родителите един ден няма да ги има.;Неуютно заведение на самообслужване, с нелюбезно и мързеливо момиче на бара.;Налагат се глоби, но събираемостта е много ниска, защото от т. нар. социално слаби, а всъщност социално мързеливи индивиди няма как да се вземат пари.]","[But if he is a lazy brat who expects his parents to fix everything for him, then, to put it kindly, he is a parasite, but unfortunately these people do not realize that one day their parents will no longer be there.;An uncomfortable self-service establishment, with an unfriendly and lazy girl at the bar.;Fines are imposed, but collection is very low because from the so-called socially weak, but actually socially lazy individuals, there is no way to collect money.]",dmc,moral_and_behavioral_defects,762
BG1622,Bulgarian,мързеливец,idler,noun,"Мързелив, ленив човек.","A lazy, idle person.","[През 2019 г. тя шумно се раздели с първия си съпруг Станимир като определението ""мързеливец"" бе сред най-меките към него.;Дори когато този народ се състои от отчаяни пияндури, мързеливци и мошеници на дребно.]","In 2019, she loudly parted ways with her first husband Stanimir, with the term ""lazy"" being among the mildest descriptions of him.;Even when this nation consists of desperate drunks, lazy people, and petty swindlers.",cds,derogatory_words,763
BG1622,Bulgarian,мързеливец,idler,noun,"Мързелив, ленив човек.","A lazy, idle person.","[Мъжът бил такъв мързеливец, че нищичко не искал да подхване.]",The man was such a lazybones that he didn't want to start anything at all.,dmc,moral_and_behavioral_defects,764
BG295,Bulgarian,мърлява жена,slattern,noun,"Който е покрит с мръсотия, по който или в който има нечистотии, мръсотия.","One who is covered with dirt, on whom or in whom there is filth, dirt.","[От близката стая излезе мърлява жена.;Има вид на супер неподдържана и мърлява жена.;Не можах да я позная - беше облечена като мърлява жена, със сплъстена коса и измачкани дрехи.]","[A filthy woman came out of the nearby room.; She looks like a super unkempt and filthy woman.; I couldn't recognize her - she was dressed like a filthy woman, with matted hair and wrinkled clothes.]",cds,derogatory_words,765
BG295,Bulgarian,мърлява жена,slattern,noun,"Който е покрит с мръсотия, по който или в който има нечистотии, мръсотия.","One who is covered with dirt, on whom or in whom there are impurities, filth.","[Отдавна никой не може да разпознае в дрипавата и мърлява жена, която рови в кофите за смет, някогашната първа красавица Катерина Славеева.]",No one has been able to recognize for a long time that the ragged and filthy woman rummaging through the trash bins is the once first beauty Katerina Slaveeva.,qas,with_potential_negative_connotations,766
